"Table 1.1.5. Gross Domestic Product"
"[Billions of dollars] Seasonally adjusted at annual rates" 
"Bureau of Economic Analysis" 
"Last Revised on: July 30, 2020 - Next Release Date August 27, 2020"
"Line","","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015","2016","2016","2016","2016","2017","2017","2017","2017","2018","2018","2018","2018","2019","2019","2019","2019","2020","2020"
"Line","","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2"
"1","        Gross domestic product",10002.9,10247.7,10319.8,10439.0,10472.9,10597.8,10596.3,10660.3,10789.0,10893.2,10992.1,11071.5,11183.5,11312.9,11567.3,11769.3,11920.2,12109.0,12303.3,12522.4,12761.3,12910.0,13142.9,13332.3,13603.9,13749.8,13867.5,14037.2,14208.6,14382.4,14535.0,14681.5,14651.0,14805.6,14835.2,14559.5,14394.5,14352.9,14420.3,14628.0,14721.4,14926.1,15079.9,15240.8,15285.8,15496.2,15591.9,15796.5,16019.8,16152.3,16257.2,16358.9,16569.6,16637.9,16848.7,17083.1,17104.6,17432.9,17721.7,17849.9,18003.4,18223.6,18347.4,18378.8,18470.2,18656.2,18821.4,19032.6,19237.4,19379.2,19617.3,19938.0,20242.2,20552.7,20742.7,20909.9,21115.3,21329.9,21540.3,21747.4,21561.1,19408.8
"2","Personal consumption expenditures",6613.6,6707.5,6815.4,6912.1,6986.9,7036.3,7064.7,7174.7,7209.9,7302.1,7390.9,7467.7,7555.8,7642.6,7802.6,7891.5,8027.7,8133.0,8264.3,8425.6,8523.0,8671.4,8849.2,8944.9,9090.7,9210.2,9333.0,9407.5,9549.4,9644.7,9753.8,9877.8,9934.3,10052.8,10081.0,9837.3,9756.1,9760.2,9895.4,9957.1,10040.5,10131.8,10220.6,10350.5,10485.4,10612.1,10705.4,10761.6,10922.4,10964.9,11014.2,11125.7,11223.2,11239.6,11330.9,11475.1,11574.2,11756.9,11915.4,12044.5,12099.1,12255.5,12389.3,12446.0,12551.6,12707.5,12841.2,12979.5,13153.2,13241.3,13370.9,13596.0,13755.5,13939.9,14086.3,14191.4,14276.6,14497.3,14645.3,14759.2,14545.5,13017.8
"3","    Goods",2413.1,2437.1,2469.2,2493.4,2499.2,2510.1,2515.2,2577.8,2561.9,2586.9,2618.4,2628.0,2657.3,2677.9,2766.2,2788.9,2843.2,2869.0,2911.3,2984.5,3001.9,3057.4,3137.8,3134.5,3196.8,3226.1,3273.4,3262.2,3308.1,3351.8,3380.0,3428.2,3406.4,3443.5,3427.9,3175.1,3120.0,3134.5,3228.5,3237.1,3266.2,3291.2,3315.1,3398.8,3469.0,3514.5,3527.8,3561.2,3628.7,3616.4,3631.8,3674.1,3731.6,3699.3,3730.4,3758.6,3789.5,3862.9,3897.9,3901.5,3867.9,3927.4,3960.4,3936.3,3939.0,3990.2,4017.5,4046.7,4108.1,4130.3,4177.3,4273.4,4315.6,4368.8,4394.8,4408.3,4415.2,4517.7,4553.6,4562.4,4552.9,4350.0
"4","        Durable goods",920.9,901.9,911.7,915.8,926.8,919.5,923.9,995.9,976.2,977.4,1001.7,986.1,974.5,1007.8,1041.8,1047.1,1064.2,1066.0,1085.0,1107.1,1110.0,1137.9,1151.8,1114.7,1154.1,1149.2,1160.5,1169.4,1179.0,1185.7,1191.9,1195.6,1153.5,1137.7,1095.8,1008.0,1004.5,994.7,1035.1,1014.2,1021.1,1043.9,1052.4,1078.4,1087.9,1082.9,1090.8,1112.4,1138.1,1133.6,1141.7,1163.6,1188.8,1185.5,1188.9,1194.5,1203.5,1239.4,1255.6,1269.7,1283.8,1309.6,1318.5,1318.5,1331.0,1340.0,1360.8,1369.1,1383.2,1394.0,1413.0,1452.6,1461.8,1482.6,1488.7,1493.2,1494.5,1536.0,1552.8,1554.1,1496.4,1474.2
"5","        Nondurable goods",1492.2,1535.1,1557.5,1577.6,1572.4,1590.6,1591.4,1581.9,1585.6,1609.5,1616.7,1641.9,1682.8,1670.1,1724.5,1741.8,1779.0,1803.0,1826.3,1877.5,1892.0,1919.5,1986.0,2019.7,2042.7,2076.8,2112.9,2092.8,2129.1,2166.1,2188.2,2232.6,2252.9,2305.8,2332.1,2167.1,2115.5,2139.8,2193.4,2222.9,2245.1,2247.3,2262.7,2320.4,2381.1,2431.6,2437.0,2448.8,2490.6,2482.8,2490.1,2510.5,2542.8,2513.9,2541.4,2564.1,2586.0,2623.5,2642.3,2631.7,2584.1,2617.7,2641.9,2617.8,2608.1,2650.2,2656.7,2677.5,2724.9,2736.3,2764.3,2820.8,2853.8,2886.2,2906.1,2915.1,2920.7,2981.7,3000.8,3008.2,3056.5,2875.7
"6","    Services",4200.5,4270.5,4346.2,4418.7,4487.6,4526.2,4549.4,4596.9,4648.1,4715.2,4772.5,4839.8,4898.4,4964.7,5036.3,5102.6,5184.5,5264.0,5353.0,5441.0,5521.0,5614.0,5711.4,5810.4,5893.8,5984.2,6059.6,6145.2,6241.3,6292.9,6373.8,6449.6,6527.9,6609.3,6653.1,6662.2,6636.1,6625.7,6666.9,6720.0,6774.3,6840.5,6905.5,6951.7,7016.3,7097.7,7177.6,7200.4,7293.7,7348.5,7382.4,7451.7,7491.6,7540.3,7600.6,7716.5,7784.7,7893.9,8017.5,8143.1,8231.2,8328.2,8428.9,8509.7,8612.6,8717.4,8823.6,8932.9,9045.1,9111.0,9193.6,9322.7,9440.0,9571.1,9691.4,9783.1,9861.4,9979.6,10091.7,10196.8,9992.5,8667.8
"7","Gross private domestic investment",1950.7,2075.8,2060.0,2067.2,1971.3,1973.0,1944.9,1850.1,1912.7,1933.3,1933.2,1942.5,1960.2,1972.4,2044.3,2131.3,2154.1,2262.6,2318.3,2390.1,2486.1,2476.5,2531.1,2645.3,2709.7,2709.3,2709.4,2675.4,2664.3,2699.2,2686.0,2642.6,2563.7,2540.6,2498.2,2307.9,2014.9,1863.7,1841.4,1998.7,2038.2,2148.8,2236.5,2238.4,2206.0,2297.4,2322.8,2504.1,2567.8,2636.9,2644.1,2638.3,2738.2,2775.3,2880.0,2910.5,2899.2,3030.4,3107.6,3139.5,3245.1,3245.8,3251.7,3206.1,3166.0,3157.9,3167.0,3262.4,3266.2,3313.3,3378.8,3446.3,3555.0,3580.9,3671.7,3723.9,3772.8,3739.7,3759.8,3732.6,3675.9,3096.3
"8","    Fixed investment",1934.5,1985.3,2002.7,2012.9,2002.0,1984.6,1975.0,1930.9,1912.4,1912.1,1907.8,1909.5,1934.1,1978.9,2043.9,2095.0,2108.0,2188.6,2254.1,2318.0,2383.6,2447.6,2518.7,2558.9,2631.5,2633.7,2630.7,2631.9,2642.9,2657.0,2641.0,2615.3,2580.4,2562.8,2514.1,2370.1,2165.9,2059.7,2045.4,2050.8,2039.4,2112.1,2123.6,2171.1,2173.9,2236.3,2334.9,2400.1,2487.5,2545.5,2559.7,2609.5,2656.0,2687.5,2743.8,2798.7,2847.0,2934.0,3008.2,3051.7,3069.4,3095.8,3124.9,3111.4,3116.6,3141.0,3171.9,3210.4,3278.5,3309.2,3333.8,3417.8,3510.5,3570.2,3593.3,3626.5,3674.2,3686.6,3718.5,3729.2,3728.0,3418.1
"9","        Nonresidential",1450.3,1498.7,1519.7,1525.1,1505.2,1473.6,1452.6,1408.9,1374.0,1357.3,1348.9,1331.2,1332.7,1366.8,1392.1,1411.9,1401.8,1445.5,1490.5,1531.7,1568.3,1603.8,1643.1,1668.7,1735.3,1774.4,1815.9,1849.5,1892.0,1937.7,1967.4,1997.1,2013.7,2024.0,2007.0,1918.7,1761.4,1685.0,1656.0,1659.3,1660.0,1715.7,1762.4,1801.9,1805.1,1862.0,1953.8,2009.0,2073.4,2126.2,2126.0,2148.6,2170.9,2180.3,2220.7,2274.0,2314.9,2383.6,2439.8,2462.0,2464.3,2472.5,2479.2,2450.3,2430.2,2448.6,2473.0,2490.2,2532.5,2555.9,2575.2,2634.2,2716.2,2765.9,2792.6,2831.9,2878.4,2891.3,2908.0,2902.3,2859.3,2647.6
"10","            Structures",300.6,316.2,330.9,336.3,331.8,338.9,347.1,316.3,302.7,289.3,278.2,277.7,279.2,286.9,287.9,292.4,292.3,300.8,314.0,323.6,337.5,345.0,355.8,373.6,397.6,420.1,435.8,447.2,469.6,498.1,526.7,546.8,556.9,571.9,578.8,576.8,527.7,473.1,429.5,392.9,368.8,382.1,379.1,389.2,362.2,392.7,421.2,441.8,470.1,488.1,484.7,474.9,463.0,480.0,507.5,519.5,546.7,574.7,586.0,603.0,596.9,599.0,582.7,558.9,536.3,550.0,571.3,583.6,600.1,604.5,592.3,599.3,629.2,640.7,634.2,621.5,640.1,649.7,658.8,652.3,648.7,581.2
"11","            Equipment",749.4,774.0,774.0,767.0,751.7,716.0,692.4,686.0,667.3,661.9,661.3,648.0,644.3,665.2,680.7,692.3,681.8,713.5,734.2,758.1,768.6,786.9,808.3,815.8,850.2,857.6,867.4,873.9,886.3,897.8,896.0,893.6,885.4,871.8,852.1,772.2,683.5,652.2,662.0,683.3,719.8,763.7,804.5,820.1,839.8,854.3,904.5,926.5,957.8,984.4,984.3,1007.1,1022.8,1018.0,1016.5,1050.9,1058.2,1085.2,1117.0,1107.4,1115.6,1117.4,1130.9,1113.9,1102.4,1088.8,1083.1,1079.9,1094.3,1107.5,1124.7,1162.4,1189.6,1197.0,1219.6,1247.6,1256.5,1243.1,1234.9,1229.3,1181.6,1049.0
"12","            Intellectual property products",400.3,408.6,414.7,421.8,421.8,418.7,413.1,406.6,404.1,406.0,409.3,405.5,409.2,414.7,423.5,427.2,427.7,431.2,442.3,450.1,462.2,472.0,479.1,479.3,487.6,496.7,512.7,528.4,536.2,541.8,544.7,556.7,571.4,580.3,576.1,569.8,550.1,559.7,564.5,583.1,571.4,570.0,578.8,592.5,603.1,615.1,628.1,640.7,645.4,653.7,657.0,666.6,685.1,682.3,696.7,703.6,710.0,723.6,736.7,751.6,751.7,756.1,765.6,777.4,791.6,809.8,818.5,826.7,838.0,843.9,858.2,872.5,897.4,928.3,938.9,962.8,981.9,998.5,1014.2,1020.7,1029.1,1017.4
"13","        Residential",484.2,486.6,483.1,487.8,496.7,511.0,522.4,522.1,538.3,554.8,558.9,578.3,601.4,612.0,651.7,683.1,706.2,743.2,763.6,786.3,815.3,843.8,875.6,890.2,896.2,859.3,814.7,782.4,750.9,719.3,673.7,618.2,566.7,538.8,507.1,451.4,404.5,374.7,389.4,391.5,379.4,396.3,361.2,369.3,368.8,374.3,381.1,391.2,414.1,419.3,433.7,460.9,485.1,507.2,523.1,524.6,532.1,550.4,568.4,589.7,605.1,623.3,645.7,661.1,686.4,692.4,698.9,720.2,746.0,753.3,758.5,783.6,794.3,804.3,800.7,794.7,795.8,795.3,810.5,827.0,868.7,770.5
"14","    Change in private inventories",16.2,90.4,57.2,54.3,-30.6,-11.6,-30.1,-80.8,0.3,21.2,25.4,33.0,26.1,-6.5,0.4,36.3,46.0,74.0,64.2,72.1,102.5,28.8,12.4,86.4,78.2,75.5,78.8,43.5,21.4,42.2,44.9,27.3,-16.7,-22.3,-15.8,-62.2,-151.0,-196.0,-204.0,-52.1,-1.2,36.7,112.9,67.3,32.1,61.0,-12.0,104.0,80.3,91.4,84.4,28.7,82.3,87.8,136.2,111.9,52.3,96.4,99.4,87.8,175.6,150.0,126.8,94.7,49.4,16.8,-4.9,52.0,-12.3,4.0,45.1,28.5,44.5,10.7,78.4,97.3,98.6,53.1,41.3,3.4,-52.1,-321.8
"15","Net exports of goods and services",-352.1,-358.7,-387.8,-401.5,-390.8,-358.5,-366.0,-356.4,-372.6,-415.7,-432.5,-480.8,-504.9,-501.5,-500.8,-505.4,-549.0,-608.0,-636.4,-682.9,-674.6,-690.8,-732.5,-786.9,-777.2,-780.6,-805.6,-720.3,-724.3,-731.9,-713.8,-703.7,-756.2,-758.9,-771.6,-605.7,-396.1,-338.6,-405.5,-445.6,-489.2,-519.1,-535.1,-512.2,-561.5,-581.9,-573.9,-600.7,-615.1,-580.5,-540.8,-537.8,-516.9,-508.9,-496.3,-441.1,-506.3,-507.6,-492.3,-524.4,-528.8,-508.3,-542.7,-526.5,-513.9,-492.3,-497.7,-546.1,-543.6,-559.5,-543.6,-575.5,-589.8,-548.1,-646.4,-653.4,-615.5,-644.7,-631.8,-549.8,-494.3,-544.7
"16","    Exports",1054.2,1092.5,1124.3,1114.1,1095.1,1052.6,996.4,954.5,970.7,1003.9,1017.2,1003.2,1008.2,1007.9,1038.1,1090.5,1137.7,1167.8,1182.7,1222.3,1264.8,1296.0,1307.1,1353.0,1413.0,1460.0,1477.8,1539.6,1577.1,1622.1,1683.7,1760.5,1811.0,1909.7,1921.8,1705.7,1514.3,1518.3,1591.1,1704.3,1746.9,1810.0,1865.6,1962.6,2030.3,2105.1,2138.8,2137.8,2164.6,2192.1,2201.8,2206.6,2239.2,2250.7,2269.4,2334.4,2335.9,2387.1,2391.9,2371.9,2295.0,2296.2,2255.5,2216.7,2177.3,2207.8,2258.2,2265.4,2326.4,2333.1,2370.1,2468.7,2507.2,2550.3,2523.9,2533.4,2523.5,2514.6,2505.2,2515.7,2438.7,1798.2
"17","        Goods",761.6,790.3,821.1,810.7,797.1,761.4,715.2,691.2,687.5,714.3,725.0,709.2,719.2,720.0,735.0,774.1,799.3,824.1,836.7,859.7,886.0,919.9,924.2,957.6,1004.9,1036.3,1053.8,1084.7,1106.9,1138.0,1177.6,1222.7,1275.4,1353.0,1372.7,1169.1,1005.9,1005.5,1068.0,1154.4,1201.1,1251.4,1282.7,1354.5,1411.7,1463.2,1482.4,1491.6,1507.4,1524.9,1533.3,1520.8,1534.9,1542.2,1552.6,1607.1,1591.5,1628.1,1633.9,1606.3,1522.0,1524.8,1485.6,1446.1,1412.2,1428.4,1460.4,1475.0,1513.6,1504.9,1533.5,1615.1,1635.4,1693.5,1660.5,1666.3,1660.6,1631.1,1626.0,1629.1,1599.0,1133.7
"18","        Services",292.6,302.2,303.1,303.4,298.0,291.2,281.2,263.3,283.2,289.6,292.1,294.0,289.0,288.0,303.1,316.4,338.4,343.7,346.0,362.6,378.8,376.2,382.9,395.4,408.1,423.7,424.1,454.9,470.2,484.2,506.2,537.8,535.6,556.7,549.1,536.6,508.5,512.8,523.1,549.9,545.7,558.6,582.9,608.1,618.5,641.8,656.3,646.2,657.2,667.2,668.5,685.9,704.3,708.5,716.8,727.3,744.5,759.0,758.0,765.6,773.1,771.4,770.0,770.6,765.0,779.5,797.7,790.5,812.7,828.2,836.7,853.6,871.8,856.8,863.4,867.1,862.9,883.5,879.2,886.5,839.7,664.5
"19","    Imports",1406.3,1451.2,1512.1,1515.6,1485.8,1411.1,1362.4,1310.9,1343.3,1419.6,1449.7,1484.0,1513.0,1509.5,1538.9,1595.8,1686.7,1775.8,1819.1,1905.2,1939.4,1986.8,2039.6,2139.9,2190.2,2240.6,2283.5,2259.9,2301.4,2354.0,2397.5,2464.2,2567.2,2668.7,2693.3,2311.4,1910.4,1856.9,1996.6,2149.8,2236.1,2329.1,2400.7,2474.8,2591.7,2686.9,2712.6,2738.5,2779.7,2772.6,2742.6,2744.5,2756.0,2759.6,2765.7,2775.5,2842.2,2894.8,2884.2,2896.3,2823.8,2804.5,2798.2,2743.2,2691.2,2700.2,2755.9,2811.5,2869.9,2892.6,2913.7,3044.1,3097.0,3098.4,3170.3,3186.9,3139.0,3159.4,3137.1,3065.4,2933.0,2342.9
"20","        Goods",1193.7,1231.2,1282.5,1293.0,1262.6,1186.7,1142.9,1102.9,1118.2,1193.7,1221.6,1244.0,1274.8,1274.2,1284.2,1332.1,1408.5,1488.7,1528.0,1604.2,1636.1,1679.6,1726.2,1819.9,1851.5,1895.6,1939.1,1896.7,1934.7,1977.7,2012.7,2073.6,2160.8,2253.4,2269.6,1893.2,1521.2,1471.0,1603.4,1745.9,1832.5,1920.4,1979.8,2046.6,2168.2,2243.1,2260.7,2290.2,2326.4,2314.2,2282.3,2282.7,2294.5,2293.8,2296.8,2300.4,2364.4,2407.2,2394.5,2400.1,2329.0,2304.4,2291.4,2227.3,2178.5,2187.7,2233.2,2285.0,2334.3,2342.1,2351.4,2479.7,2533.8,2531.8,2596.3,2600.3,2550.9,2556.4,2534.6,2460.7,2377.9,1936.5
