quarter,Tianjin,Beijing,Shanghai,Chongqing,Hangzhou,Chengdu
1 ,705.15,1023.87,1801.6,639.9,,474.6
2 ,1577.59,2274.45,3930.64,1319.22,,1111.5
3 ,2477.64,3542.04,6111.68,2114.65,,1783
4 ,3663.86,6814.53,9143.95,3069.1,2942.65,2371.0?
1 ,860.34,1681.56,2296.72,697.22,,511.6
2 ,1986.02,3538.02,4781.93,1468.12,,1224.1
3 ,3094.08,5513.18,7359.18,2320.64,,1967.2
4 ,4337.73,7720.33,10296.97,3486.2,3440.99,2750
1 ,989.72,1882.78,2630.5,783.77,,612.9
2 ,2312.26,4064.26,5561.91,1677.67,,1446.3
3 ,3601.3,6419.78,8590.97,2757.91,,2349.3
4 ,5018.28,9006.23,12001.16,4111.82,4103.89,3324.4
1 ,1230.6,2148.3,3040.8,963.8,,762
2 ,2951.9,4972.8,6530.7,2104.8,,1746.2
3 ,4623.9,7586.3,9929.5,3419.6,,2821.3
4 ,6354.4,10488,13698.2,5096.7,4781.16,3901
1 ,1416.9,2511.9,3150.5,1032.2,,856.6
2 ,3154.9,5308.4,6612,2320.5,,1951.3
3 ,4997,8161.4,10214.8,3793.4,,3164.6
4 ,7500.8,11865.9,14900.9,6528.7,5098.66,4502.6
1 ,1842.4,3117,3810.6,1698.9,,1041.8
2 ,4106.5,6372.6,7980.2,3634.6,,2363.5
3 ,6448.6,9754.4,12109.5,5631.7,,3769.9
4 ,9108.8,13777.9,16872.4,7894.2,5945.82,5508.3
1 ,2256.5,3509,4327.6,2061.1,,1368.4
2 ,5098.65,7418.07,9164.1,4450.37,,3107.6
3 ,8006.26,11404.26,13725.64,7003.73,,5009.4
4 ,11190.99,16011.43,19195.69,10011.13,7011.8,6854.6
1 ,2582.6,3761.52,4593.85,2523.87,,1775.1
2 ,5864.94,8348.59,9552.24,5307.19,,3951.4
3 ,9188.45,12678.14,14374.23,8158,,6001.9
4 ,12885.18,17801.02,20101.33,11459,7803.98,8138.9
1 ,2915.85,4101.23,4937.5,2725.9,,2150.8
2 ,6579.01,9112.79,10168.52,5840.51,,4408.5
3 ,10223.04,13766.18,15474.13,8637.1,,6681
4 ,14370.16,19500.56,21602.12,12656.69,8343.52,9108.9
1 ,3190.3,4412.95,5313.07,2982.71,,2320.2
2 ,7185.46,9769.32,10952.64,6440.51,,4842.8
3 ,11101.31,14774.06,16607.08,9500.83,,7320.6
4 ,15722.47,21330.83,23560.94,14265.4,9201.16,10056.6
1 ,3709.03,4773.46,5815.79,3306.69,1998.22,2462.3
2 ,7884.04,10578.28,11887,7237.9,4498.75,5136.1
3 ,12321.02,16002.35,17866.24,11252.67,7102.26,7816.3
4 ,16538.19,22968.59,24964.99,15719.72,10053.58,10801.2
1 ,4039.44,5451.89,6225.39,3772.73,2214.66,2601.7
2 ,8500.91,11413.83,12956.99,8000.82,5021.18,5590.2
3 ,13339.44,17367.77,19529.67,12505.05,7780.67,8598
4 ,17885.39,24899.26,27466.15,17558.76,11050,12170.2
1 ,4667.18,6040.48,6922.84,4306.74,2508,2968.5
2 ,9386.87,12406.79,13908.57,9143.64,5689,6111.4
3 ,13449.5,19569.76,21617.52,14309.18,9018,9725.4
4 ,18595.38,28000.35,30133.86,19500.27,12556,13889.39
1 ,3014.72,7235.4,8104.28,4886.76,2923,3193.3
2 ,6376.64,15279.7,17101.98,10642.41,6356,6870.68
3 ,9749.14,23665.7,25604.72,15608.62,9673,10803.1
4 ,13362.92,33106,36011.82,21588.8,13509,15342.77
1 ,3103.97,7784.3,8396.96,5195,3230,3550.1
2 ,6556.84,16443.52,17737.77,10973.93,6949,7702.37
3 ,10146.86,25446.71,27449.59,16982.4,10511,12047.26
4 ,14104.28,35371.28,38155.32,23605.77,15373,17012.65
