GeoName,United States
2005:Q1,12761337
2005:Q2,12910022
2005:Q3,13142873
2005:Q4,13332316
2006:Q1,13603933
2006:Q2,13749806
2006:Q3,13867469
2006:Q4,14037228
2007:Q1,14208569
2007:Q2,14382363
2007:Q3,14535003
2007:Q4,14681501
2008:Q1,14651039
2008:Q2,14805611
2008:Q3,14835187
2008:Q4,14559543
2010:Q1,14721350
2010:Q2,14926098
2010:Q3,15079917
2010:Q4,15240843
2011:Q1,15285828
2011:Q2,15496189
2011:Q3,15591850
2011:Q4,15796460
2012:Q1,16019758
2012:Q2,16152257
2012:Q3,16257151
2012:Q4,16358863
2013:Q1,16569591
2013:Q2,16637926
2013:Q3,16848748
2013:Q4,17083137
2014:Q1,17104555
2014:Q2,17432909
2014:Q3,17721657
2014:Q4,17849912
2015:Q1,17984178
2015:Q2,18219405
2015:Q3,18344713
2015:Q4,18350825
2016:Q1,18424283
2016:Q2,18637253
2016:Q3,18806743
2016:Q4,18991883
2017:Q1,19190431
2017:Q2,19356649
2017:Q3,19611704
2017:Q4,19918910
2018:Q1,20163159
2018:Q2,20510177
2018:Q3,20749752
2018:Q4,20897804
