年份,中国总储蓄占GDP比重,日本总储蓄占GDP比重,美国总储蓄占GDP比重
2018,44.56%,27.84%,18.55%
2017,44.96%,28.12%,18.71%
2016,44.48%,27.37%,18.72%
2015,45.52%,27.07%,20.26%
2014,47.62%,24.66%,20.40%
2013,47.38%,24.03%,19.26%
2012,48.67%,23.56%,18.84%
2011,49.23%,24.17%,16.55%
2010,51.33%,25.12%,15.52%
2009,50.37%,24.08%,13.99%
2008,51.79%,27.36%,15.32%
2007,50.28%,29.12%,17.63%
2006,48.26%,28.55%,19.31%
2005,45.95%,28.27%,18.22%
2004,45.67%,28.09%,17.79%
2003,42.41%,27.50%,17.46%
2002,38.88%,27.30%,18.40%
2001,37.27%,28.56%,19.70%
2000,35.74%,29.96%,20.82%
1999,36.56%,29.61%,20.95%
1998,38.35%,31.32%,21.38%
1997,39.74%,32.09%,20.83%
1996,38.76%,32.29%,19.64%
1995,39.53%,,18.75%
1994,41.70%,,17.85%
1993,41.71%,,17.04%
1992,40.61%,,17.68%
1991,38.50%,,18.81%
1990,36.69%,,18.76%
1989,35.88%,,19.75%
1988,37.98%,,20.63%
1987,37.23%,,19.62%
1986,35.25%,,18.96%
1985,35.28%,,20.36%
1984,34.90%,,21.91%
1983,33.15%,,19.79%
1982,33.80%,,21.78%
1981,,,23.35%
1980,,,22.20%
